Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,true,REQUIRED,L'app raccoglie o condivide uno o più dei tipi di dati utente richiesti?
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,true,MAYBE_REQUIRED,Tutti i dati utente raccolti dalla tua app vengono criptati in transito?
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD,true,MULTIPLE_CHOICE,Quale dei seguenti metodi di creazione dell'account supporta la tua app? Seleziona tutte le opzioni pertinenti/Nome utente e password
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_OTHER_AUTH,,MULTIPLE_CHOICE,Quale dei seguenti metodi di creazione dell'account supporta la tua app? Seleziona tutte le opzioni pertinenti/Nome utente e altra autenticazione
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD_OTHER_AUTH,,MULTIPLE_CHOICE,"Quale dei seguenti metodi di creazione dell'account supporta la tua app? Seleziona tutte le opzioni pertinenti/Nome utente, password e altre autenticazioni"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OAUTH,true,MULTIPLE_CHOICE,Quale dei seguenti metodi di creazione dell'account supporta la tua app? Seleziona tutte le opzioni pertinenti/OAuth
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OTHER,,MULTIPLE_CHOICE,Quale dei seguenti metodi di creazione dell'account supporta la tua app? Seleziona tutte le opzioni pertinenti/Altro
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_NONE,,MULTIPLE_CHOICE,Quale dei seguenti metodi di creazione dell'account supporta la tua app? Seleziona tutte le opzioni pertinenti/La mia app non consente agli utenti di creare un account
PSL_ACM_SPECIFY,,,MAYBE_REQUIRED,Descrivi il metodo di creazione dell'account supportato dalla tua app
PSL_ACCOUNT_DELETION_URL,,https://manzolo.github.io/GeoJournal/delete-account.html,MAYBE_REQUIRED,Aggiungi un link che gli utenti possono utilizzare per richiedere l'eliminazione del loro account e dei dati associati 
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_YES,true,SINGLE_CHOICE,Offri agli utenti un modo per richiedere l'eliminazione dei loro dati?/Sì
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO,,SINGLE_CHOICE,Offri agli utenti un modo per richiedere l'eliminazione dei loro dati?/No
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO_AUTO_DELETED,,SINGLE_CHOICE,"Offri agli utenti un modo per richiedere l'eliminazione dei loro dati?/No, ma i dati utente vengono eliminati automaticamente entro 90 giorni"
PSL_DATA_DELETION_URL,,https://manzolo.github.io/GeoJournal/delete-account.html,MAYBE_REQUIRED,URL per eliminare i dati
PSL_DATA_COLLECTION_COMPLIES_FAMILY_POLICY,,,OPTIONAL,"Rispondi a questa domanda soltanto se hai indicato che la fascia d'età target della tua app include bambini e ragazzi o se partecipi al programma Per la famiglia. Se una delle condizioni precedenti è vera, devi rispettare le Norme per le famiglie di Google Play (https://support.google.com/googleplay/android-developer/answer/9893335). Vuoi informare gli utenti di questo impegno alla conformità nella sezione Sicurezza dei dati della tua scheda dello Store?"
PSL_INDEPENDENTLY_VALIDATED,,,OPTIONAL,"La tua app ha completato un controllo della sicurezza indipendente secondo il framework MASA (Mobile Application Security Assessment)? Rispondi ""Sì"" solo se la recensione è in regola."
PSL_UPI_BADGE_OPT_IN,,,OPTIONAL,Vuoi mostrare questo badge nella tua scheda dello Store?
PSL_HAS_OUTSIDE_APP_ACCOUNTS,,,OPTIONAL,Gli utenti possono accedere alla tua app con account creati al di fuori dell'app?
PSL_OUTSIDE_APP_ACCOUNT_TYPES,PSL_LOGIN_WITH_OUTSIDE_APP_ID,,MULTIPLE_CHOICE,"Come vengono creati questi account?/Identificazione esterna all'app (ad es. associazione SIM, abbonamento a un servizio)"
PSL_OUTSIDE_APP_ACCOUNT_TYPES,PSL_LOGIN_THROUGH_EMPLOYMENT_OR_ENTERPRISE_ACCOUNT,,MULTIPLE_CHOICE,Come vengono creati questi account?/Tramite assunzione o account aziendali
PSL_OUTSIDE_APP_ACCOUNT_TYPES,PSL_OUTSIDE_APP_ACCOUNT_TYPE_OTHER,,MULTIPLE_CHOICE,Come vengono creati questi account?/Altro
PSL_OUTSIDE_APP_ACCOUNT_TYPE_SPECIFY,,,MAYBE_REQUIRED,Descrivi come vengono creati questi account
PSL_DATA_TYPES_PERSONAL,PSL_NAME,,MULTIPLE_CHOICE,Informazioni personali/Nome
PSL_DATA_TYPES_PERSONAL,PSL_EMAIL,true,MULTIPLE_CHOICE,Informazioni personali/Indirizzo email
PSL_DATA_TYPES_PERSONAL,PSL_USER_ACCOUNT,true,MULTIPLE_CHOICE,Informazioni personali/ID utente
PSL_DATA_TYPES_PERSONAL,PSL_ADDRESS,,MULTIPLE_CHOICE,Informazioni personali/Indirizzo
PSL_DATA_TYPES_PERSONAL,PSL_PHONE,,MULTIPLE_CHOICE,Informazioni personali/Numero di telefono
PSL_DATA_TYPES_PERSONAL,PSL_RACE_ETHNICITY,,MULTIPLE_CHOICE,Informazioni personali/Razza ed etnia
PSL_DATA_TYPES_PERSONAL,PSL_POLITICAL_RELIGIOUS,,MULTIPLE_CHOICE,Informazioni personali/Orientamento politico o credo religioso
PSL_DATA_TYPES_PERSONAL,PSL_SEXUAL_ORIENTATION_GENDER_IDENTITY,,MULTIPLE_CHOICE,Informazioni personali/Orientamento sessuale
PSL_DATA_TYPES_PERSONAL,PSL_OTHER_PERSONAL,,MULTIPLE_CHOICE,Informazioni personali/Altre informazioni
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_DEBIT_BANK_ACCOUNT_NUMBER,,MULTIPLE_CHOICE,Informazioni finanziarie/Dati di pagamento dell'utente
PSL_DATA_TYPES_FINANCIAL,PSL_PURCHASE_HISTORY,,MULTIPLE_CHOICE,Informazioni finanziarie/Cronologia acquisti
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_SCORE,,MULTIPLE_CHOICE,Informazioni finanziarie/Affidabilità creditizia
PSL_DATA_TYPES_FINANCIAL,PSL_OTHER,,MULTIPLE_CHOICE,Informazioni finanziarie/Altre informazioni finanziarie
